id_transakcji,czas_transakcji,kwota,waluta,kraj_karty,kraj_ip,kategoria_sklepu,karta_obecna,liczba_transakcji_10min,kwota_vs_srednia_klienta,nowy_odbiorca,decyzja_starego_systemu,czy_fraud
TX-100051,2026-05-13 11:47:34,452.32,PLN,PL,PL,odzież,nie,1,1.21,nie,PRZEPUSZCZONA,nie
TX-100111,2026-05-10 19:05:58,299.82,USD,PL,PL,kosmetyki,nie,1,0.95,nie,PRZEPUSZCZONA,nie
TX-100198,2026-06-07 02:22:22,1349.52,PLN,PL,DE,apteka,nie,3,4.82,nie,PRZEPUSZCZONA,tak
TX-100115,2026-05-06 14:23:04,359.12,PLN,PL,PL,kosmetyki,nie,1,1.09,nie,PRZEPUSZCZONA,nie
TX-100137,2026-05-10 09:32:25,40.9,PLN,PL,PL,kosmetyki,nie,1,1.21,nie,PRZEPUSZCZONA,nie
TX-100098,2026-05-26 20:47:21,509.08,PLN,PL,PL,kosmetyki,nie,1,0.87,nie,PRZEPUSZCZONA,nie
TX-100145,2026-05-14 09:34:17,456.16,PLN,PL,PL,gaming,nie,1,1.31,nie,PRZEPUSZCZONA,nie
TX-100027,2026-06-29 11:59:26,563.27,PLN,DE,IT,gaming,tak,1,1.1,tak,ZABLOKOWANA,nie
TX-100118,2026-06-04 13:02:48,194.54,PLN,PL,PL,kosmetyki,nie,2,0.97,tak,PRZEPUSZCZONA,nie
TX-100086,2026-05-26 13:06:31,294.99,PLN,PL,PL,apteka,nie,2,0.63,nie,PRZEPUSZCZONA,nie
TX-100058,2026-06-14 12:17:32,291.29,PLN,PL,PL,elektronika,nie,1,1.1,nie,ZABLOKOWANA,nie
TX-100060,2026-06-22 14:05:30,224.65,PLN,IT,IT,bilety,nie,1,1.1,nie,PRZEPUSZCZONA,nie
TX-100025,2026-05-10 15:53:23,106.48,PLN,CZ,CZ,gaming,tak,2,1.21,nie,PRZEPUSZCZONA,nie
TX-100083,2026-06-23 18:13:37,566.87,PLN,PL,PL,spożywczy,tak,2,0.91,tak,PRZEPUSZCZONA,nie
TX-100204,2026-06-08 11:22:30,2750.0,PLN,PL,PL,elektronika,nie,1,6.5,nie,ZABLOKOWANA,nie
TX-100028,2026-05-23 11:50:55,27.1,EUR,PL,PL,bilety,tak,1,0.74,nie,ZABLOKOWANA,nie
TX-100156,2026-06-17 10:04:02,458.85,USD,PL,PL,sport,tak,1,1.12,tak,PRZEPUSZCZONA,nie
TX-100141,2026-06-14 09:32:49,312.88,USD,PL,PL,sport,nie,1,1.33,nie,PRZEPUSZCZONA,nie
TX-100095,2026-06-08 06:13:19,501.57,PLN,PL,PL,książki,nie,1,1.03,nie,PRZEPUSZCZONA,nie
TX-100160,2026-05-03 13:43:45,168.14,PLN,PL,ES,elektronika,nie,1,0.83,nie,PRZEPUSZCZONA,nie
TX-100039,2026-06-19 15:44:01,500.45,EUR,PL,PL,dom i ogród,tak,1,,nie,PRZEPUSZCZONA,nie
TX-100176,2026-06-22 12:04:19,165.42,PLN,PL,PL,spożywczy,tak,2,0.73,nie,ZABLOKOWANA,nie
TX-100075,2026-05-17 16:46:49,546.86,PLN,PL,PL,spożywczy,nie,1,0.48,nie,PRZEPUSZCZONA,nie
TX-100125,2026-06-05 14:57:19,466.13,PLN,PL,PL,spożywczy,nie,1,1.45,nie,PRZEPUSZCZONA,nie
TX-100147,2026-05-19 11:41:03,69.08,PLN,PL,PL,spożywczy,tak,1,0.61,nie,PRZEPUSZCZONA,nie
TX-100012,2026-05-09 08:30:35,348.66,PLN,FR,FR,gaming,tak,1,1.11,nie,PRZEPUSZCZONA,nie
TX-100180,2026-05-29 12:17:06,2.48,PLN,PL,RU,książki,nie,18,1.62,tak,ZABLOKOWANA,tak
TX-100181,2026-05-06 03:35:05,1316.67,PLN,PL,RU,bilety,nie,2,5.45,tak,ZABLOKOWANA,tak
TX-100044,2026-06-17 17:49:52,210.44,PLN,PL,PL,dom i ogród,nie,1,1.4,nie,PRZEPUSZCZONA,nie
TX-100122,2026-05-29 04:04:15,245.72,PLN,PL,PL,kosmetyki,nie,1,1.23,nie,PRZEPUSZCZONA,nie
TX-100194,2026-05-20 02:51:45,338.39,PLN,PL,PL,gaming,nie,2,4.59,tak,ZABLOKOWANA,tak
TX-100124,2026-06-09 11:58:31,98.59,USD,PL,PL,kosmetyki,nie,1,,N,PRZEPUSZCZONA,nie
TX-100069,2026-06-24 11:43:54,620.74,PLN,Polska,PL,bilety,nie,1,0.49,nie,ZABLOKOWANA,nie
TX-100077,2026-06-25 11:07:29,101.8,PLN,GB,GB,kosmetyki,tak,1,1.68,nie,PRZEPUSZCZONA,nie
TX-100070,2026-05-28 22:48:40,76.12,PLN,IT,IT,elektronika,nie,1,0.48,nie,PRZEPUSZCZONA,nie
TX-100046,2026-06-02 16:00:54,324.75,PLN,PL,PL,spożywczy,tak,1,1.5,nie,PRZEPUSZCZONA,nie
TX-100119,2026-05-29 20:24:21,328.58,PLN,PL,PL,apteka,nie,1,0.2,nie,PRZEPUSZCZONA,nie
TX-100038,2026-05-06 08:14:24,462.7,PLN,PL,PL,gaming,nie,1,0.58,nie,PRZEPUSZCZONA,nie
TX-100193,2026-05-10 12:21:29,9.86,PLN,PL,RU,sport,nie,16,1.69,tak,ZABLOKOWANA,tak
TX-100049,2026-05-01 14:12:05,271.3,PLN,PL,PL,bilety,nie,1,,nie,PRZEPUSZCZONA,nie
TX-100173,2026-05-30 15:44:14,540.3,PLN,PL,PL,sport,nie,1,1.95,tak,PRZEPUSZCZONA,nie
TX-100154,2026-05-24 07:36:07,361.4,PLN,PL,PL,książki,nie,1,1.08,nie,ZABLOKOWANA,nie
TX-100155,2026-06-15 15:05:57,527.95,PLN,PL,PL,elektronika,nie,1,0.6,tak,PRZEPUSZCZONA,nie
TX-100037,2026-06-25 14:16:48,418.83,PLN,PL,PL,bilety,nie,1,1.04,nie,ZABLOKOWANA,nie
TX-100184,2026-06-09 09:06:08,828.42,PLN,PL,UA,apteka,nie,2,7.65,tak,ZABLOKOWANA,tak
TX-100013,2026-06-12 16:28:57,89.2,PLN,PL,PL,elektronika,nie,1,,nie,PRZEPUSZCZONA,nie
TX-100024,2026-05-03 00:49:08,179.13,PLN,POL,PL,odzież,nie,1,1.48,nie,PRZEPUSZCZONA,nie
TX-100088,2026-05-27 11:29:25,72.66,PLN,PL,PL,sport,nie,1,1.26,nie,PRZEPUSZCZONA,nie
TX-100177,2026-05-04 07:14:53,6.79,PLN,PL,BR,kosmetyki,nie,17,2.92,tak,PRZEPUSZCZONA,tak
